title,price,availability,rating,url,price_numeric,rating_numeric,rating_clean
A Light in the Attic,Â£51.77,In stock,Three,http://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,51.77,3,In stock
Tipping the Velvet,Â£53.74,In stock,One,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,53.74,1,In stock
Soumission,Â£50.10,In stock,One,http://books.toscrape.com/catalogue/soumission_998/index.html,50.1,1,In stock
Sharp Objects,Â£47.82,In stock,Four,http://books.toscrape.com/catalogue/sharp-objects_997/index.html,47.82,4,In stock
Sapiens: A Brief History of Humankind,Â£54.23,In stock,Five,http://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,54.23,5,In stock
The Requiem Red,Â£22.65,In stock,One,http://books.toscrape.com/catalogue/the-requiem-red_995/index.html,22.65,1,In stock
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,In stock,Four,http://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,33.34,4,In stock
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,In stock,Three,http://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,17.93,3,In stock
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,In stock,Four,http://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,22.6,4,In stock
The Black Maria,Â£52.15,In stock,One,http://books.toscrape.com/catalogue/the-black-maria_991/index.html,52.15,1,In stock
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,In stock,Two,http://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,13.99,2,In stock
Shakespeare's Sonnets,Â£20.66,In stock,Four,http://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,20.66,4,In stock
Set Me Free,Â£17.46,In stock,Five,http://books.toscrape.com/catalogue/set-me-free_988/index.html,17.46,5,In stock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,In stock,Five,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,52.29,5,In stock
Rip it Up and Start Again,Â£35.02,In stock,Five,http://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,35.02,5,In stock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,In stock,Three,http://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,57.25,3,In stock
Olio,Â£23.88,In stock,One,http://books.toscrape.com/catalogue/olio_984/index.html,23.88,1,In stock
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,In stock,One,http://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,37.59,1,In stock
Libertarianism for Beginners,Â£51.33,In stock,Two,http://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,51.33,2,In stock
It's Only the Himalayas,Â£45.17,In stock,Two,http://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,45.17,2,In stock
In Her Wake,Â£12.84,In stock,One,http://books.toscrape.com/catalogue/in-her-wake_980/index.html,12.84,1,In stock
How Music Works,Â£37.32,In stock,Two,http://books.toscrape.com/catalogue/how-music-works_979/index.html,37.32,2,In stock
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Â£30.52,In stock,Three,http://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,30.52,3,In stock
Chase Me (Paris Nights #2),Â£25.27,In stock,Five,http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,25.27,5,In stock
Black Dust,Â£34.53,In stock,Five,http://books.toscrape.com/catalogue/black-dust_976/index.html,34.53,5,In stock
Birdsong: A Story in Pictures,Â£54.64,In stock,Three,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,54.64,3,In stock
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Â£22.50,In stock,Three,http://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,22.5,3,In stock
Aladdin and His Wonderful Lamp,Â£53.13,In stock,Three,http://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,53.13,3,In stock
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,In stock,Five,http://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,40.3,5,In stock
Wall and Piece,Â£44.18,In stock,Four,http://books.toscrape.com/catalogue/wall-and-piece_971/index.html,44.18,4,In stock
The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,In stock,Five,http://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,17.66,5,In stock
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Â£31.05,In stock,Three,http://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,31.05,3,In stock
The Elephant Tree,Â£23.82,In stock,Five,http://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,23.82,5,In stock
The Bear and the Piano,Â£36.89,In stock,One,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,36.89,1,In stock
Sophie's World,Â£15.94,In stock,Five,http://books.toscrape.com/catalogue/sophies-world_966/index.html,15.94,5,In stock
Penny Maybe,Â£33.29,In stock,Three,http://books.toscrape.com/catalogue/penny-maybe_965/index.html,33.29,3,In stock
Maude (1883-1993):She Grew Up with the country,Â£18.02,In stock,Two,http://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,18.02,2,In stock
"In a Dark, Dark Wood",Â£19.63,In stock,One,http://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,19.63,1,In stock
Behind Closed Doors,Â£52.22,In stock,Four,http://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,52.22,4,In stock
